Wall time,Step,Value
1740447988.020554,4096000,9.046632766723633
1740448130.124611,8192000,13.436943054199219
1740448270.122939,12288000,21.428274154663086
1740448408.295267,16384000,29.24428367614746
1740448546.4986053,20480000,36.4759635925293
1740448751.7548146,24576000,40.009098052978516
1740448889.639536,28672000,43.15404510498047
1740449030.908424,32768000,46.3105354309082
1740449168.2366521,36864000,47.28520584106445
1740449305.4076974,40960000,46.81928634643555
1740449513.6776814,45056000,46.7194709777832
1740449652.7287037,49152000,48.61004638671875
1740449790.197908,53248000,48.27827453613281
1740449926.33683,57344000,48.42504119873047
1740450058.6037712,61440000,48.922889709472656
1740450263.2781487,65536000,49.84117889404297
1740450393.8065734,69632000,50.41340255737305
1740450528.79803,73728000,50.593624114990234
1740450665.0104246,77824000,50.438899993896484
1740450803.5321672,81920000,50.47633361816406
1740451011.5020893,86016000,51.15233612060547
1740451150.785736,90112000,51.170772552490234
1740451291.3087666,94208000,50.9591064453125
1740451430.5669124,98304000,51.5638542175293
1740451568.553316,102400000,50.76395797729492
1740451776.5705943,106496000,51.245792388916016
1740451914.7391949,110592000,51.09170913696289
1740452052.8926597,114688000,50.95647048950195
1740452188.6244216,118784000,50.02144241333008
