Wall time,Step,Value
1740518429.805982,4096000,25.319034576416016
1740518575.4575546,8192000,31.10531997680664
1740518717.5425777,12288000,32.175880432128906
1740518855.8060627,16384000,33.24702453613281
1740518993.9233654,20480000,33.6307487487793
1740519213.9630835,24576000,35.59209442138672
1740519366.5170026,28672000,35.23253631591797
1740519516.0439193,32768000,35.39402389526367
1740519667.9621003,36864000,35.30512237548828
1740519820.370017,40960000,35.637115478515625
1740520042.9334164,45056000,35.301387786865234
1740520194.8454342,49152000,34.787288665771484
1740520345.3896737,53248000,35.07070541381836
1740520494.4277015,57344000,35.480533599853516
1740520645.9017541,61440000,35.45067596435547
1740520871.0388467,65536000,35.7689094543457
1740521017.4931004,69632000,36.36119842529297
1740521161.87111,73728000,36.75790786743164
1740521310.699227,77824000,36.92314910888672
1740521460.1414468,81920000,36.85117721557617
1740521684.978536,86016000,37.47384262084961
1740521842.2585218,90112000,37.37911605834961
1740521996.6594298,94208000,37.796993255615234
1740522155.1478393,98304000,38.54774856567383
1740522304.8694475,102400000,40.277584075927734
1740522528.0145862,106496000,40.77658462524414
1740522681.5234506,110592000,41.315025329589844
1740522830.7039099,114688000,41.525753021240234
1740522979.020912,118784000,43.115684509277344
1740523131.8065314,122880000,45.1015510559082
1740523357.5656414,126976000,46.4572639465332
1740523518.6432343,131072000,47.352394104003906
1740523680.0211256,135168000,49.018497467041016
1740523840.7302835,139264000,49.773719787597656
1740523993.1108358,143360000,50.6549072265625
1740524216.6906624,147456000,53.13298416137695
1740524370.894606,151552000,54.51247024536133
1740524521.3326626,155648000,56.18959045410156
1740524665.254319,159744000,56.205997467041016
1740524807.367272,163840000,57.975257873535156
1740525028.851992,167936000,58.129478454589844
1740525181.586856,172032000,59.046592712402344
1740525330.9975352,176128000,60.698482513427734
1740525482.1450877,180224000,62.38554000854492
1740525632.7745583,184320000,62.825374603271484
1740525851.439167,188416000,64.68104553222656
1740526001.2076442,192512000,67.96971893310547
1740526149.957714,196608000,68.80160522460938
1740526300.7716029,200704000,71.36418914794922
1740526455.1371617,204800000,73.82007598876953
1740526676.480592,208896000,74.35710906982422
1740526833.2860167,212992000,73.1407699584961
1740526986.9235075,217088000,74.79476165771484
1740527140.401932,221184000,76.57937622070312
1740527290.8878703,225280000,77.84925079345703
1740527512.938037,229376000,78.01405334472656
1740527672.0652695,233472000,78.10254669189453
1740527832.107615,237568000,79.70459747314453
1740527984.345243,241664000,78.50875854492188
1740528135.702654,245760000,79.4931640625
1740528367.3368988,249856000,77.54052734375
1740528519.2037337,253952000,77.86261749267578
1740528669.5884848,258048000,77.45701599121094
1740528821.5885854,262144000,76.56612396240234
1740528970.0312674,266240000,75.40052795410156
1740529188.7681575,270336000,75.85808563232422
1740529342.190431,274432000,76.0635757446289
1740529494.7299528,278528000,76.55306243896484
1740529644.2525067,282624000,77.95903778076172
1740529791.3782628,286720000,79.2796859741211
1740530000.4137924,290816000,78.94969177246094
1740530142.2951543,294912000,78.5062255859375
1740530281.7999067,299008000,76.98491668701172
1740530422.1294243,303104000,77.86410522460938
1740530564.9346418,307200000,76.1255874633789
1740530773.729335,311296000,77.24041748046875
1740530911.9718103,315392000,77.74711608886719
1740531050.9330058,319488000,78.36991119384766
1740531191.4308138,323584000,79.2664566040039
1740531332.5614421,327680000,78.2732162475586
